Tamil,English
என்னாது,ennaadhu
அறஞ்செய்க,aranjeyka
மற்றது,matradhu
பொன்றுங்கால்,pondrungaal
பொன்றாத்,pondraath
துணை,thunai
அறத்தாறு,araththaaru
இதுவென,ithuvena
வேண்டா,ventaa
சிவிகை,sivikai
பொறுத்தானோடு,poruththaanotu
ஊர்ந்தான்,oorndhaan
இடை,itai
வீழ்நாள்,veezhnaal
படாஅமை,pataaamai
நன்றாற்றின்,nandraatrin
அஃதொருவன்,aqdhoruvan
வாழ்நாள்,vaazhnaal
வழியடைக்கும்,vazhiyataikkum
கல்,kal
அறத்தான்,araththaan
வருவதே,varuvadhe
இன்பம்,inpam
மற்றெல்லாம்,matrellaam
புறத்த,puraththa
புகழும்,pukazhum
செயற்பால,"seyarpaala, cheyarpaala"
தோரும்,thorum
அறனே,arane
ஒருவற்கு,oruvarku
உயற்பால,uyarpaala
பழி,pazhi
இல்வாழ்வான்,ilvaazhvaan
என்பான்,enpaan
இயல்புடைய,iyalputaiya
மூவர்க்கும்,moovarkkum
நல்லாற்றின்,nallaatrin
நின்ற,nindra
துறந்தார்க்கும்,thurandhaarkkum
துவ்வாதவர்க்கும்,thuvvaadhavarkkum
இறந்தார்க்கும்,irandhaarkkum
தென்புலத்தார்,thenpulaththaar
தெய்வம்,theyvam
விருந்தொக்கல்,virundhokkal
தானென்றாங்கு,thaanendraangu
ஐம்புலத்தாறு,aimpulaththaaru
ஓம்பல்,ompal
பழியஞ்சிப்,pazhiyanjip
பாத்தூண்,paaththoon
உடைத்தாயின்,utaiththaayin
வாழ்க்கை,vaazhkkai
வழியெஞ்சல்,vazhiyenjal
எஞ்ஞான்றும்,egngnaandrum
இல்,il
அன்பும்,anpum
அறனும்,aranum
இல்வாழ்க்கை,ilvaazhkkai
பண்பும்,panpum
பயனும்,payanum
அது,adhu
அறத்தாற்றின்,araththaatrin
ஆற்றின்,aatrin
புறத்தாற்றில்,puraththaatril
போஒய்ப்,pooip
பெறுவ,peruva
தெவன்,thevan
இயல்பினான்,iyalpinaan
வாழ்பவன்,vaazhpavan
முயல்வாருள்,muyalvaarul
ஒழுக்கி,ozhukki
அறனிழுக்கா,aranizhukkaa
நோற்பாரின்,norpaarin
நோன்மை,nonmai
உடைத்து,utaiththu
எனப்,enap
பட்டதே,pattadhe
அஃதும்,aqdhum
பிறன்பழிப்ப,piranpazhippa
தில்லாயின்,thillaayin
நன்று,nandru
வையத்துள்,vaiyaththul
வாழ்வாங்கு,vaazhvaangu
வான்உநற்யும்,vaanuraiyum
தெய்வத்துள்,theyvaththul
வைக்கப்,vaikkap
படும்,patum
மனைக்தக்க,manaikdhakka
மாண்புடையள்,maanputaiyal
ஆகித்தற்,aakiththar
கொண்டான்,kontaan
வளத்தக்காள்,valaththakkaal
வாழ்க்கைத்,vaazhkkaith
மனைமாட்சி,manaimaatchi
இல்லாள்கண்,illaalkan
இல்லாயின்,illaayin
எனைமாட்சித்,enaimaatchith
தாயினும்,thaayinum
இல்லதென்,illadhen
இல்லவள்,illaval
மாண்பானால்,maanpaanaal
உள்ளதென்,ulladhen
மாணாக்,maanaak
கடை,katai
பெண்ணின்,pennin
பெருந்தக்க,perundhakka
யாவுள,yaavula
கற்பென்னும்,karpennum
திண்மைஉண்,thinmaiun
டாகப்,taakap
பெறின்,perin
தொழாஅள்,thozhaaal
கொழுநன்,kozhunan
தொழுதெழுவாள்,thozhudhezhuvaal
பெய்யெனப்,peyyenap
பெய்யும்,peyyum
தற்காத்துத்,tharkaaththuth
தற்கொண்டாற்,tharkontaar
பேணித்,penith
தகைசான்ற,thakaisaandra
சொற்காத்துச்,sorkaaththuch
சோர்விலாள்,chorvilaal
பெண்,pen
சிறைகாக்கும்,siraikaakkum
காப்பெவன்,kaappevan
செய்யும்,"seyyum, cheyyum"
மகளிர்,makalir
நிறைகாக்கும்,niraikaakkum
காப்பே,kaappe
பெற்றாற்,petraar
பெறின்பெறுவர்,perinperuvar
பெண்டிர்,pentir
பெருஞ்சிறப்புப்,perunjirappup
புத்தேளிர்,puththelir
வாழும்,vaazhum
புகழ்புரிந்த,pukazhpurindha
இல்லிலோர்க்கு,illilorkku
இகழ்வார்முன்,ikazhvaarmun
ஏறுபோல்,erupol
பீடு,peetu
நடை,natai
மங்கலம்,mangalam
என்ப,enpa
மற்று,matru
அதன்,adhan
நன்கலம்,nankalam
நன்மக்கட்,nanmakkat
பேறு,peru
பெறுமவற்றுள்,perumavatrul
யாமறிவது,yaamarivadhu
அறிவறிந்த,arivarindha
மக்கட்பேறு,makkatperu
அல்ல,alla
எழுபிறப்பும்,ezhupirappum
தீயவை,theeyavai
தீண்டா,theentaa
பழிபிறங்காப்,pazhipirangaap
பண்புடை,panputai
மக்கட்,makkat
தம்பொருள்,thamporul
என்பதம்,enpadham
மக்கள்,makkal
அவர்பொருள்,avarporul
தம்தம்,thamdham
வினையான்,vinaiyaan
வரும்,varum
அமிழ்தினும்,amizhdhinum
ஆற்ற,aatra
இனிதேதம்,inidhedham
சிறுகை,sirukai
