Tamil,English
வன்கணார்,vankanaar
புறங்குன்றி,purangundri
கண்டனைய,kantanaiya
ரேனும்,renum
அகங்குன்றி,akangundri
முக்கிற்,mukkir
கரியார்,kariyaar
மனத்தது,manaththadhu
மாசாக,maasaaka
மாண்டார்,maantaar
நீராடி,neeraati
மறைந்தொழுகு,maraindhozhuku
பலர்,palar
கணைகொடிது,kanaikotidhu
யாழ்கோடு,yaazhkotu
செவ்விதுஆங்,sevvidhuaang
கன்ன,kanna
வினைபடு,vinaipatu
பாலால்,paalaal
கொளல்,kolal
மழித்தலும்,mazhiththalum
நீட்டலும்,neettalum
பழித்தது,pazhiththadhu
ஒழித்து,ozhiththu
எள்ளாமை,ellaamai
வேண்டுவான்,ventuvaan
கள்ளாமை,kallaamai
காக்கதன்,kaakkadhan
நெஞ்சு,nenju
உள்ளத்தால்,ullaththaal
உள்ளலும்,ullalum
பிறன்பொருளைக்,piranporulaik
கள்ளத்தால்,kallaththaal
கள்வேம்,kalvem
எனல்,enal
களவினால்,kalavinaal
ஆகிய,aakiya
அளவிறந்து,alavirandhu
ஆவது,aavadhu
போலக்,polak
களவின்கண்,kalavinkan
கன்றிய,kandriya
காதல்,kaadhal
விளைவின்கண்,vilaivinkan
வீயா,veeyaa
விழுமம்,vizhumam
அருள்கருதி,arulkarudhi
அன்புடைய,anputaiya
ராதல்,raadhal
பொருள்கருதிப்,porulkarudhip
பொச்சாப்புப்,pochchaappup
பார்ப்பார்கண்,paarppaarkan
அளவின்கண்,alavinkan
நின்றொழுகல்,nindrozhukal
ஆற்றார்,aatraar
காத,kaadha
லவர்,lavar
களவென்னும்,kalavennum
காரறி,kaarari
வாண்மை,vaanmai
அளவென்னும்,alavennum
புரிந்தார்கண்ட,purindhaarkanta
அளவறிந்தார்,alavarindhaar
நெஞ்சத்,nenjath
தறம்போல,tharampola
களவறிந்தார்,kalavarindhaar
நெஞ்சில்,nenjil
கரவு,karavu
அளவல்ல,alavalla
செய்தாங்கே,seydhaange
வீவர்,veevar
களவல்ல,kalavalla
மற்றைய,matraiya
கள்வார்க்குத்,kalvaarkkuth
தள்ளும்,thallum
தள்ளாது,thallaadhu
ளுளகு,lulaku
வாய்மை,vaaimai
எனப்படுவது,enappatuvadhu
யாதொன்றும்,yaadhondrum
பொய்மையும்,poimaiyum
யிடத்த,yitaththa
புரைதீர்ந்த,puraidheerndha
தன்நெஞ்,thannenj
சறிவது,charivadhu
பொய்யற்க,poiyarka
பொய்த்தபின்,poiththapin
தன்நெஞ்சே,thannenje
தன்னைச்,thannaich
சுடும்,"sutum, chutum"
உள்ளத்தாற்,ullaththaar
பொய்யா,poiyaa
தொழுகின்,thozhukin
உலகத்தார்,ulakaththaar
உள்ளத்து,ullaththu
ளெல்லாம்,lellaam
உளன்,ulan
மனத்தொடு,manaththotu
மொழியின்,mozhiyin
தவத்தொடு,thavaththotu
தானஞ்செய்,thaananjey
வாரின்,vaarin
பொய்யாமை,poiyaamai
அன்ன,anna
புகழில்லை,pukazhillai
எய்யாமை,eyyaamai
அறமுந்,aramun
அறம்பிற,arampira
புறள்தூய்மை,puraldhooimai
நீரான்,neeraan
அமையும்,amaiyum
அகந்தூய்மை,akandhooimai
வாய்மையால்,vaaimaiyaal
விளக்கும்,vilakkum
விளக்கல்ல,vilakkalla
சான்றோர்க்குப்,saandrorkkup
விளக்கே,vilakke
விளக்கு,vilakku
யாமெய்யாக்,yaameyyaak
கண்டவற்றுள்,kantavatrul
வாய்மையின்,vaaimaiyin
செல்லிடத்துக்,sellitaththuk
சினங்காப்பான்,sinangaappaan
அல்லிடத்துக்,allitaththuk
காக்கின்என்,kaakkinen
செல்லா,sellaa
இடத்துச்,itaththuch
சினந்தீது,chinandheedhu
செல்லிடத்தும்,sellitaththum
இல்அதனின்,iladhanin
வெகுளியை,vekuliyai
பிறத்தல்,piraththal
அதனான்,adhanaan
நகையும்,nakaiyum
உவகையும்,uvakaiyum
கொல்லும்,kollum
சினத்தின்,sinaththin
பகையும்,pakaiyum
உளவோ,ulavo
காக்கின்,kaakkin
சினங்காக்க,sinangaakka
தன்னையே,thannaiye
கொல்லுஞ்,kollunj
சினம்,chinam
சினமென்னும்,sinamennum
சேர்ந்தாரைக்,serndhaaraik
கொல்லி,kolli
இனமென்னும்,inamennum
ஏமப்,emap
புணையைச்,punaiyaich
சினத்தைப்,sinaththaip
பொருளென்று,porulendru
கொண்டவன்,kontavan
நிலத்தறைந்தான்,nilaththaraindhaan
கைபிழையா,kaipizhaiyaa
இணர்எரி,inareri
தோய்வன்ன,thoivanna
புணரின்,punarin
வெகுளாமை,vekulaamai
உள்ளிய,ulliya
உடனெய்தும்,utaneydhum
உள்ளான்,ullaan
இறந்தார்,irandhaar
அனையர்,anaiyar
சினத்தைத்,sinaththaith
சிறப்பீனும்,sirappeenum
பெறினும்,perinum
கோள்,kol
கறுத்துஇன்னா,karuththuinnaa
செய்தவக்,seydhavak
மறுத்தின்னா,maruththinnaa
செற்றார்க்கும்,setraarkkum
செய்தபின்,seydhapin
உய்யா,uyyaa
இன்னாசெய்,innaasey
தாரை,thaarai
ஒறுத்தல்,oruththal
அவர்நாண,avarnaana
நன்னயஞ்,nannayanj
செய்து,cheydhu
அறிவினான்,arivinaan
ஆகுவ,aakuva
துண்டோ,thunto
பிறிதின்நோய்,piridhinnoi
தந்நோய்போல்,thannoipol
போற்றாக்,potraak
எனத்தான்,enaththaan
உணர்ந்தவை,unarndhavai
துன்னாமை,thunnaamai
பிறன்கண்,pirankan
எனைத்தானும்,enaiththaanum
யார்க்கும்,yaarkkum
மனத்தானாம்,manaththaanaam
மாணாசெய்,maanaasey
யாமை,yaamai
தன்னுயிர்ககு,thannuyirkaku
ஏன்னாமை,ennaamai
தானறிவான்,thaanarivaan
என்கொலோ,enkolo
மன்னுயிர்க்கு,mannuyirkku
பிறர்க்கின்னா,pirarkkinnaa
முற்பகல்,murpakal
தமக்கு,thamakku
பிற்பகல்,pirpakal
நோயெல்லாம்,noyellaam
நோய்செய்தார்,noiseydhaar
மேலவாம்,melavaam
நோய்செய்யார்,noiseyyaar
நோயின்மை,noyinmai
பிறவினை,piravinai
பகுத்துண்டு,pakuththuntu
பல்லுயிர்,palluyir
ஓம்புதல்,ompudhal
நூலோர்,noolor
தொகுத்தவற்றுள்,thokuththavatrul
நல்லது,nalladhu
மற்றதன்,matradhan
பின்சாரப்,pinsaarap
சூழும்,soozhum
நெறி,neri
நிலைஅஞ்சி,nilaianji
நீத்தாருள்,neeththaarul
கொலைஅஞ்சிக்,kolaianjik
சூழ்வான்,soozhvaan
மேற்கொண்,merkon
டொழுகுவான்,tozhukuvaan
வாழ்நாள்மேல்,vaazhnaalmel
உயிருண்ணுங்,uyirunnung
கூற்று,kootru
நீப்பினும்,neeppinum
இன்னுயிர்,innuyir
நன்றாகும்,nandraakum
பெரிதெனினும்,peridheninum
சான்றோர்க்குக்,saandrorkkuk
கொன்றாகும்,kondraakum
ஆக்கங்,aakkang
கொலைவினைய,kolaivinaiya
மாக்கள்,maakkal
புலைவினையர்,pulaivinaiyar
புன்மை,punmai
தெரிவா,therivaa
உயிர்,uyir
உடம்பின்,utampin
நீக்கியார்,neekkiyaar
செயிர்,seyir
செல்லாத்தீ,sellaaththee
நில்லாத,nillaadha
வற்றை,vatrai
நிலையின,nilaiyina
என்றுணரும்,endrunarum
புல்லறி,pullari
கூத்தாட்டு,kooththaattu
அவைக்,avaik
குழாத்,kuzhaath
பெருஞ்செல்வம்,perunjelvam
போக்கும்,pokkum
அதுவிளிந்,adhuvilin
அற்கா,arkaa
இயல்பிற்றுச்,iyalpitruch
அதுபெற்றால்,adhupetraal
அற்குப,arkupa
நாளென,naalena
ஒன்றுபோற்,ondrupor
ஈரும்,eerum
வாளது,vaaladhu
நாச்செற்று,naachchetru
விக்குள்மேல்,vikkulmel
வாராமுன்,vaaraamun
நல்வினை,nalvinai
மேற்சென்று,mersendru
செய்யப்,seyyap
நெருநல்,nerunal
உளனொருவன்,ulanoruvan
இன்றில்லை,indrillai
உடைத்துஇவ்,utaiththuiv
வுலகு,vulaku
ஒருபொழுதும்,orupozhudhum
வாழ்வது,vaazhvadhu
கருதுப,karudhupa
கோடியும்,kotiyum
பல,pala
குடம்பை,kutampai
தனித்து,thaniththu
ஒழியப்,ozhiyap
புள்பறந்,pulparan
உடம்பொடு,utampotu
உயிரிடை,uyiritai
உறங்கு,urangu
வதுபோலுஞ்,vadhupolunj
சாக்காடு,"chaakkaatu, saakkaatu"
உறங்கி,urangi
விழிப்பது,vizhippadhu
போலும்,polum
பிறப்பு,pirappu
புக்கில்,pukkil
அமைந்தின்று,amaindhindru
உடம்பினுள்,utampinul
துச்சில்,thuchchil
இருந்த,irundha
யாதனின்,yaadhanin
நீங்கியான்,neengiyaan
நோதல்,nodhal
அதனின்,adhanin
உண்,un
டாகத்,taakath
துறக்க,thurakka
துறந்தபின்,thurandhapin
ஈண்டுஇயற்,eentuiyar
பால,paala
அடல்வேண்டும்,atalventum
ஐந்தன்,aindhan
புலத்தை,pulaththai
விடல்வேண்டும்,vitalventum
வெல்லாம்,vellaam
ஒருங்கு,orungu
இயல்பாகும்,iyalpaakum
நோன்பிற்கொன்று,nonpirkondru
மயலாகும்,mayalaakum
தொடர்ப்பாடு,thotarppaatu
எவன்கொல்,evankol
பிறப்பறுக்கல்,pirapparukkal
உற்றார்க்கு,utraarkku
உடம்பும்,utampum
மிகை,mikai
யான்,yaan
எனது,enadhu
அறுப்பான்,aruppaan
வானோர்க்கு,vaanorkku
புகும்,pugum
பற்றி,patri
விடாஅ,vitaaa
இடும்பைகள்,itumpaikal
பற்றினைப்,patrinaip
தலைப்பட்டார்,thalaippattaar
தீரத்,theerath
மயங்கி,mayangi
வலைப்பட்டார்,valaippattaar
பற்றற்ற,patratra
பிறப்பறுக்கும்,pirapparukkum
நிலையாமை,nilaiyaamai
பற்றுக,patruka
பற்றற்றான்,patratraan
பற்றினை,patrinai
அப்பற்றைப்,appatraip
பற்று,patru
விடற்கு,vitarku
பொருளல்ல,porulalla
வற்றைப்,vatraip
உணரும்,unarum
மருளானாம்,marulaanaam
மாணாப்,maanaap
இருள்நீங்கி,irulneengi
மருள்நீங்கி,marulneengi
யவர்க்கு,yavarkku
ஐயத்தின்,aiyaththin
நீங்கித்,neengith
தெளிந்தார்க்கு,thelindhaarkku
வையத்தின்,vaiyaththin
நணிய,naniya
ஐயுணர்வு,aiyunarvu
எய்தியக்,eydhiyak
பயமின்றே,payamindre
மெய்யுணர்வு,meyyunarvu
இல்லா,illaa
எப்பொருள்,epporul
எத்தன்மைத்,eththanmaith
அப்பொருள்,apporul
காண்பது,kaanpadhu
அறிவு,arivu
கற்றீண்டு,katreentu
கண்டார்,kantaar
தலைப்படுவர்,thalaippatuvar
மற்றீண்டு,matreentu
வாரா,vaaraa
ஓர்த்துள்ளம்,orththullam
உணரின்,unarin
ஒருதலையாப்,orudhalaiyaap
பேர்த்துள்ள,perththulla
பிறப்பென்னும்,pirappennum
நீங்கச்,neengach
சிறப்பென்னும்,chirappennum
சார்புணர்ந்து,saarpunarndhu
சார்பு,saarpu
கெடஒழுகின்,ketaozhukin
மற்றழித்துச்,matrazhiththuch
சார்தரா,chaardharaa
சார்தரு,saardharu
நோய்,noi
காமம்,kaamam
மயக்கம்,mayakkam
இவ்முன்றன்,ivaimundran
நாமம்,naamam
கெடக்கெடும்,ketakketum
அவாஎன்ப,avaaenpa
உயிர்க்கும்,uyirkkum
எஞ்,enj
தவாஅப்,thavaaap
பிறப்பீனும்,pirappeenum
வேண்டுங்கால்,ventungaal
பிறவாமை,piravaamai
வேண்ட,venta
விழுச்செல்வம்,vizhuchchelvam
ஈண்டில்லை,eentillai
ஆண்டும்,aantum
தூஉய்மை,thoouymai
அவாவின்மை,avaavinmai
வாஅய்மை,vaaaimai
அற்றவர்,atravar
அவாஅற்றார்,avaaatraar
மற்றையார்,matraiyaar
அற்றாக,atraaka
அற்றது,atradhu
இலர்,ilar
அஞ்சுவ,anjuva
ஒருவனை,oruvanai
வஞ்சிப்ப,vanjippa
அவா,avaa
அவாவினை,avaavinai
அறுப்பின்,aruppin
தவாவினை,thavaavinai
தான்வேண்டு,thaanventu
மாற்றான்,maatraan
அவாஇல்லார்க்,avaaillaark
கில்லாகுந்,killaakun
துன்பம்,thunpam
அஃதுண்டேல்,aqdhuntel
தவாஅது,thavaaadhu
மேன்மேல்,menmel
இடையறா,itaiyaraa
தீண்டும்,theentum
அவாவென்னும்,avaavennum
துன்பங்,thunpang
கெடின்,ketin
ஆரா,aaraa
இயற்கை,iyarkai
அவாநீப்பின்,avaaneeppin
அந்நிலையே,annilaiye
பேரா,peraa
ஆகூழால்,aakoozhaal
தோன்றும்,thondrum
அசைவின்மை,asaivinmai
கைப்பொருள்,kaipporul
போகூழால்,pokoozhaal
மடி,mati
பேதைப்,pedhaip
படுக்கும்,patukkum
இழவூழ்,izhavoozh
அறிவகற்றும்,arivakatrum
ஆகலூழ்,aakaloozh
உற்றக்,utrak
நுண்ணிய,nunniya
நூல்பல,noolpala
கற்பினும்,karpinum
மற்றுந்தன்,matrundhan
உண்மை,unmai
யறிவே,yarive
மிகும்,mikum
இருவேறு,iruveru
திருவேறு,thiruveru
தெள்ளிய,thelliya
ராதலும்,raadhalum
வேறு,veru
எல்லாஅந்,ellaaan
தீயவாம்,theeyavaam
தீயவும்,theeyavum
நல்லவாம்,nallavaam
செயற்கு,seyarku
பரியினும்,pariyinum
ஆகாவாம்,aakaavaam
பாலல்ல,paalalla
உய்த்துச்,uyththuch
சொரியினும்,choriyinum
போகா,pokaa
தம,thama
வகுத்தான்,vakuththaan
வகுத்த,vakuththa
வகையல்லால்,vakaiyallaal
கோடி,koti
தொகுத்தார்க்கு,thokuththaarkku
துய்த்தல்,thuyththal
துறப்பார்மன்,thurappaarman
துப்புர,thuppura
வில்லார்,villaar
உறற்பால,urarpaala
ஊட்டா,oottaa
கழியு,kazhiyu
மெனின்,menin
நன்றாங்கால்,nandraangaal
நல்லவாக்,nallavaak
காண்பவர்,kaanpavar
அன்றாங்கால்,andraangaal
அல்லற்,allar
படுவ,patuva
ஊழிற்,oozhir
பெருவலி,peruvali
மற்றொன்று,matrondru
சூழினுந்,soozhinun
தான்முந்,thaanmun
துறும்,thurum
படைகுடி,pataikuti
கூழ்அமைச்சு,koozhamaichchu
நட்பரண்,natparan
ஆறும்,aarum
உடையான்,utaiyaan
அரசருள்,arasarul
ஏறு,eru
பொருட்பால்,porutpaal
அஞ்சாமை,anjaamai
ஈகை,eekai
அறிவூக்கம்,arivookkam
இந்நான்கும்,innaankum
எஞ்சாமை,enjaamai
வேந்தர்க்,vendhark
கியல்பு,kiyalpu
தூங்காமை,thoongaamai
கல்வி,kalvi
துணிவுடைமை,thunivutaimai
இம்மூன்றும்,immoondrum
நீங்கா,neengaa
நிலனான்,nilanaan
தல்லவை,thallavai
நீக்கி,neekki
மறனிழுக்கா,maranizhukkaa
மானம்,maanam
உடைய,utaiya
தரசு,tharasu
இயற்றலும்,iyatralum
ஈட்டலுங்,eettalung
காத்தலும்,kaaththalum
காத்த,kaaththa
வகுத்தலும்,vakuththalum
வல்ல,valla
காட்சிக்,kaatchik
கெளியன்,keliyan
கடுஞ்சொல்லன்,katunjollan
அல்லனேல்,allanel
மீக்கூறும்,meekkoorum
மன்னன்,mannan
ஈத்தளிக்க,eeththalikka
வல்லார்க்குத்,vallaarkkuth
தன்சொலால்,thansolaal
தான்கண்,thaankan
டனைத்திவ்,tanaiththiv
முறைசெய்து,muraiseydhu
காப்பாற்றும்,kaappaatrum
மன்னவன்,mannavan
மக்கட்கு,makkatku
இறையென்று,iraiyendru
செவிகைப்பச்,sevikaippach
சொற்பொறுக்கும்,chorporukkum
வேந்தன்,vendhan
கவிகைக்கீழ்த்,kavikaikkeezhth
தங்கும்,thangum
கொடையளி,kotaiyali
செங்கோல்,sengol
குடியோம்பல்,kutiyompal
உடையானாம்,utaiyaanaam
கொளி,koli
கற்க,karka
கசடறக்,kasatarak
கற்பவை,karpavai
கற்றபின்,katrapin
நிற்க,nirka
அதற்குத்,adharkuth
தக,thaka
எண்ணென்ப,ennenpa
ஏனை,enai
எழுத்தென்ப,ezhuththenpa
இவ்விரண்டும்,ivvirantum
கண்ணென்ப,kannenpa
கண்ணுடையர்,kannutaiyar
என்பவர்,enpavar
கற்றோர்,katror
முகத்திரண்டு,mukaththirantu
புண்ணுடையர்,punnutaiyar
கல்லா,kallaa
உவப்பத்,uvappath
தலைக்கூடி,thalaikkooti
உள்ளப்,ullap
பிரிதல்,piridhal
அனைத்தே,anaiththe
புலவர்,pulavar
தொழில்,thozhil
உடையார்முன்,utaiyaarmun
இல்லார்போல்,illaarpol
ஏக்கற்றுங்,ekkatrung
கற்றார்,katraar
கடையரே,kataiyare
தொட்டனைத்,thottanaith
தூறும்,thoorum
மணற்கேணி,manarkeni
மாந்தர்க்குக்,maandharkkuk
கற்றனைத்,katranaith
யாதானும்,yaadhaanum
நாடாமால்,naataamaal
ஊராமால்,ooraamaal
என்னொருவன்,ennoruvan
சாந்துணையுங்,saandhunaiyung
கல்லாத,kallaadha
ஒருமைக்கண்,orumaikkan
கற்ற,katra
எழுமையும்,ezhumaiyum
தாமின்,thaamin
புறுவது,puruvadhu
உலகின்,ulakin
புறக்,purang
கண்டு,kantu
காமுறுவர்,kaamuruvar
கற்றறிந்,katrarin
கேடில்,ketil
யொருவற்கு,yoruvarku
மாடல்ல,maatalla
யவை,yavai
அரங்கின்றி,arangindri
வட்டாடி,vattaati
யற்றே,yatre
நிரம்பிய,nirampiya
நூலின்றிக்,noolindrik
கோட்டி,kotti
கல்லாதான்,kallaadhaan
சொற்கா,sorkaa
முறுதல்,murudhal
முலையிரண்டும்,mulaiyirantum
இல்லாதாள்,illaadhaal
பெண்காமுற்,penkaamur
றற்று,ratru
தவரும்,thavarum
நனிநல்லர்,naninallar
கற்றார்முன்,katraarmun
சொல்லா,sollaa
திருக்கப்,thirukkap
ஒட்பம்,otpam
கழியநன்,kazhiyanan
றாயினும்,raayinum
கொள்ளார்,kollaar
அறிவுடை,arivutai
யார்,yaar
தகைமை,thakaimai
தலைப்பெய்து,thalaippeydhu
சொல்லாடச்,sollaatach
சோர்வு,"sorvu, chorvu"
உளரென்னும்,ularennum
மாத்திரையர்,maaththiraiyar
அல்லால்,allaal
பயவாக்,payavaak
களரனையர்,kalaranaiyar
நுண்மாண்,nunmaan
நுழைபுலம்,nuzhaipulam
இல்லான்,illaan
எழில்நலம்,ezhilnalam
மண்மாண்,manmaan
புனைபாவை,punaipaavai
யற்று,yatru
நல்லார்கண்,nallaarkan
பட்ட,patta
வறுமையின்,varumaiyin
இன்னாதே,innaadhe
கல்லார்கண்,kallaarkan
மேற்பிறந்தா,merpirandhaa
கல்லாதார்,kallaadhaar
கீழ்ப்பிறந்தும்,keezhppirandhum
அனைத்திலர்,anaiththilar
பாடு,paatu
விலங்கொடு,vilangotu
இலங்குநூல்,ilangunool
கற்றாரோடு,katraarotu
செல்வத்துட்,selvaththut
செல்வஞ்,selvanj
செவிச்செல்வம்,chevichchelvam
அச்செல்வம்,achchelvam
செல்வத்து,selvaththu
ளெல்லாந்,lellaan
செவுக்குண,sevikkuna
வில்லாத,villaadha
போழ்து,pozhdhu
சிறிது,siridhu
வயிற்றுக்கும்,vayitrukkum
ஈயப்,eeyap
செவியுணவிற்,seviyunavir
கேள்வி,kelvi
அவியுணவின்,aviyunavin
ஆன்றாரோ,aandraaro
டொப்பர்,toppar
கற்றில,katrila
னாயினுங்,naayinung
கேட்க,ketka
அஃதொருவற்கு,aqdhoruvarku
ஒற்கத்தின்,orkaththin
ஊற்றாந்,ootraan
இழுக்கல்,izhukkal
உடையுழி,utaiyuzhi
ஊற்றுக்கோல்,ootrukkol
முடையார்வாய்ச்,mutaiyaarvaaich
அனைத்தானும்,anaiththaanum
பிழைத்,pizhaith
துணர்ந்தும்,thunarndhum
ரிழைத்துணர்ந்,rizhaiththunarn
தீண்டிய,theentiya
கேட்பினுங்,ketpinung
கேளாத்,kelaath
தகையவே,thakaiyave
கேள்வியால்,kelviyaal
தோட்கப்,thotkap
படாத,pataadha
செவி,sevi
நுணங்கிய,nunangiya
கேள்விய,kelviya
ரல்லார்,rallaar
வணங்கிய,vanangiya
வாயின,vaayina
செவியிற்,seviyir
சுவையுணரா,suvaiyunaraa
வாயுணர்வின்,vaayunarvin
அவியினும்,aviyinum
வாழினும்,vaazhinum
அறிவற்றங்,arivatrang
காக்குங்,kaakkung
கருவி,karuvi
உள்ளழிக்க,ullazhikka
லாகா,laakaa
அரண்,aran
சென்ற,sendra
இடத்தால்,itaththaal
செலவிடா,selavitaa
தீதொரீஇ,theedhoreei
நன்றின்பால்,nandrinpaal
உய்ப்ப,uyppa
தறிவு,tharivu
யார்யார்வாய்க்,yaaryaarvaaik
கேட்பினும்,ketpinum
காண்ப,kaanpa
எண்பொருள,enporula
வாகச்,vaakach
செலச்சொல்லித்,"chelachchollith, selachchollith"
தான்பிறர்வாய்,thaanpirarvaai
நுண்பொருள்,nunporul
தழீஇய,thazheeiya
தொட்பம்,thotpam
மலர்தலும்,malardhalum
கூம்பலும்,koompalum
இல்ல,illa
எவ்வ,evva
துறைவது,thuraivadhu
அவ்வ,avva
துறைவ,thuraiva
அறிவுடையார்,arivutaiyaar
ஆவ,aava
தறிவார்,tharivaar
அறிவிலார்,arivilaar
அஃதறி,aqdhari
தஞ்சாமை,thanjaamai
அஞ்சுவது,anjuvadhu
அஞ்சல்,anjal
அறிவார்,arivaar
எதிரதாக்,edhiradhaak
காக்கும்,kaakkum
அறிவினார்க்,arivinaark
அதிர,adhira
வருவதோர்,varuvadhor
முடையார்,mutaiyaar
என்னுடைய,ennutaiya
செருக்குஞ்,serukkunj
சினமும்,chinamum
சிறுமையும்,sirumaiyum
இல்லார்,illaar
பெருக்கம்,perukkam
பெருமித,perumidha
நீர்த்து,neerththu
இவறலும்,ivaralum
மாண்பிறந்த,maanpirandha
மானமும்,maanamum
மாணா,maanaa
இறைக்கு,iraikku
தினைத்துணையாங்,thinaiththunaiyaang
குற்றம்,kutram
வரினும்,varinum
பழிநாணு,pazhinaanu
குற்றமே,kutrame
பொருளாகக்,porulaakak
அற்றந்,atran
த்ரூஉம்,tharooum
பகை,pakai
வருமுன்னர்க்,varumunnark
காவாதான்,kaavaadhaan
எரிமுன்னர்,erimunnar
வைத்தூறு,vaiththooru
தன்குற்றம்,thankutram
நீக்கிப்,neekkip
பிறர்குற்றங்,pirarkutrang
என்குற்ற,enkutra
மாகும்,maakum
திவறியான்,thivariyaan
தன்றிக்,thandrik
பற்றுள்ளம்,patrullam
இவறன்மை,ivaranmai
எற்றுள்ளும்,etrullum
எண்ணப்,ennap
படுவதொன்,patuvadhon
வியவற்க,viyavarka
நயவற்க,nayavarka
பயவா,payavaa
அறியாமை,ariyaamai
உய்க்கிற்பின்,uykkirpin
ஏதில,edhila
நூல்,nool
மூத்த,mooththa
திறனறிந்து,thiranarindhu
தேர்ந்து,therndhu
உறாஅமை,uraaamai
முற்காக்கும்,murkaakkum
பெற்றியார்ப்,petriyaarp
பேணிக்,penik
அரியவற்று,ariyavatru
அரிதே,aridhe
பெரியாரைப்,periyaaraip
தமராக்,thamaraak
தம்மிற்,thammir
பெரியார்,periyaar
தமரா,thamaraa
ஒழுகுதல்,ozhukudhal
வன்மையு,vanmaiyu
சூழ்வார்கண்,soozhvaarkan
ணாக,naaka
ஒழுகலான்,ozhukalaan
சூழ்வாரைக்,soozhvaaraik
சூழ்ந்து,"choozhndhu, soozhndhu"
தக்கா,thakkaa
ரினத்தனாய்த்,rinaththanaaith
தானொழுக,thaanozhuka
வல்லானைச்,vallaanaich
செற்றார்,"chetraar, setraar"
செயக்கிடந்த,seyakkitandha
தில்,thil
இடிக்குந்,itikkun
துணையாரை,thunaiyaarai
யாள்வரை,yaalvarai
யாரே,yaare
கெடுக்குந்,ketukkun
இடிப்பாரை,itippaarai
ஏமரா,emaraa
கெடுப்பா,ketuppaa
ரிலானுங்,rilaanung
முதலிலார்க,mudhalilaarkku
ஊதிய,oodhiya
மில்லை,millai
மதலையாஞ்,madhalaiyaanjjch
சார்பிலார்க்,aarpilaark
நிலை,nilai
கொளலிற்,kolalir
பத்தடுத்த,paththatuththa
தீமைத்தே,theemaiththe
நல்லார்,nallaar
தொடர்கை,thotarkai
சிற்றினம்,sitrinam
சிறுமைதான்,sirumaidhaan
சுற்றமாச்,"sutramaach, chutramaach"
நிலத்தியல்பால்,nilaththiyalpaal
நீர்திரிந்,neerdhirin
தற்றாகும்,thatraakum
மாந்தர்க்கு,maandharkku
இனத்தியல்ப,inaththiyalpa
தாகும்,thaakum
மாந்தர்க்,maandhark
குணர்ச்சி,kunarchchi
இனத்தானாம்,inaththaanaam
இன்னான்,innaan
எனப்படுஞ்,enappatunj
மனத்து,manaththu
ளதுபோலக்,ladhupolak
இனத்துள,inaththula
மனந்தூய்மை,manandhooimai
செய்வினை,seyvinai
இரண்டும்,irantum
இனந்தூய்மை,inandhooimai
தூவா,thoovaa
மனந்தூயார்க்,manandhooyaark
கெச்சம்நன்,kechchamnan
றாகும்,raakum
இனந்தூயார்க்கு,inandhooyaarkku
இல்லைநன்,illainan
றாகா,raakaa
மனநலம்,mananalam
காக்கம்,kaakkam
இனநலம்,inanalam
எல்லாப்,ellaap
நன்குடைய,nankutaiya
மனநலத்தின்,mananalaththin
மறுமைமற்,marumaimar
றஃதும்,raqdhum
இனநலத்தின்,inanalaththin
நல்லினத்தி,nallinaththi
னூங்குந்,noongun
துணையில்லை,thunaiyillai
தீயினத்தின்,theeyinaththin
படுப்பதூஉம்,patuppadhooum
அழிவதூஉம்,azhivadhooum
ஆவதூஉம்,aavadhooum
ஆகி,aaki
வழிபயக்கும்,vazhipayakkum
ஊதியமும்,oodhiyamum
தெரிந்த,therindha
இனத்தொடு,inaththotu
தேர்ந்தெண்ணிச்,therndhennich
அரும்பொருள்,arumporul
கருதி,karudhi
முதலிழக்கும்,mudhalizhakkum
ஊக்கார்,ookkaar
தெளிவி,thelivi
லதனைத்,ladhanaith
தொடங்கார்,thotangaar
இளிவென்னும்,ilivennum
ஏதப்பாடு,edhappaatu
அஞ்சு,anju
வகையறச்,vakaiyarach
சூழா,choozhaa
தெழுதல்,thezhudhal
பகைவரைப்,pakaivaraip
பாத்திப்,paaththip
படுப்பதோ,patuppadho
ராறு,raaru
செய்தக்க,"seydhakka, cheydhakka"
செயக்,seyak
யானுங்,yaanung
எண்ணித்,ennith
துணிக,thunika
கருமம்,karumam
துணிந்தபின்,thunindhapin
எண்ணுவம்,ennuvam
இழுக்கு,izhukku
வருந்தா,varundhaa
வருத்தம்,varuththam
பலர்நின்று,palarnindru
போற்றினும்,potrinum
பொத்துப்,poththup
நன்றாற்ற,nandraatra
லுள்ளுந்,lullun
தவுறுண்டு,thavuruntu
பண்பறிந்,panparin
தாற்றாக்,thaatraak
எள்ளாத,ellaadha
எண்ணிச்,ennich
செயல்வேண்டும்,cheyalventum
தம்மோடு,thammotu
கொள்ளாத,kollaadha
கொள்ளாது,kollaadhu
வினைவலியும்,vinaivaliyum
தன்வலியும்,thanvaliyum
வலியும்,valiyum
துணைவலியும்,thunaivaliyum
தூக்கிச்,thookkich
ஒல்வ,olva
தறிவது,tharivadhu
அறிந்ததன்,arindhadhan
கண்தங்கிச்,kandhangich
செல்வார்க்குச்,chelvaarkkuch
செல்லாதது,chellaadhadhu
உடைத்தம்,utaiththam
வலியறியார்,valiyariyaar
ஊக்கத்தின்,ookkaththin
ஊக்கி,ookki
இடைக்கண்,itaikkan
முரிந்தார்,murindhaar
